model,target,fold,auc_roc,auc_pr,f1,precision,recall,accuracy,brier,ece
LightGBM,y_default,3.0,0.8122797627012802,0.666762332338005,0.6559139784946236,0.7625,0.5754716981132075,0.9327731092436975,0.058838412129817635,0.05583821349509244
LightGBM,y_default,4.0,0.8056559168562382,0.6821140879169418,0.6966292134831461,0.8611111111111112,0.5849056603773585,0.9432773109243697,0.05511904720084061,0.05446479619737584
LightGBM,y_default,5.0,0.8434586734466301,0.7017699901800055,0.6629834254143646,0.8,0.5660377358490566,0.9359243697478992,0.054402086684618316,0.04132954419812925
LSTM,y_default,1.0,0.4744714976275868,0.10474083601029123,0.17001545595054096,0.10166358595194085,0.5188679245283019,0.43651626442812175,0.2550363838672638,0.3940850242049847
LSTM,y_default,2.0,0.5569235958846348,0.13653378713883263,0.19217081850533807,0.1534090909090909,0.2571428571428571,0.7615546218487395,0.2438807189464569,0.38227566287798037
LSTM,y_default,3.0,0.5211427806771043,0.11809621648274662,0.15676959619952494,0.10476190476190476,0.3113207547169811,0.6271008403361344,0.24641107022762299,0.3840227338070629
LSTM,y_default,4.0,0.5191355546634552,0.1240317542804202,0.18699186991869918,0.10917721518987342,0.6509433962264151,0.3697478991596639,0.2535756230354309,0.39327499721230585
LSTM,y_default,5.0,0.5438913421651278,0.12377370690062557,0.20175438596491227,0.13142857142857142,0.4339622641509434,0.6176470588235294,0.23130586743354797,0.30682948385482706
HybridLSTM,y_default,1.0,0.7599073310908646,0.5515081338575122,0.44081632653061226,0.38848920863309355,0.5094339622641509,0.8562434417628542,0.1348177194595337,0.2105049079778562
HybridLSTM,y_default,2.0,0.8541294203631866,0.7220886966619956,0.6141078838174274,0.5441176470588235,0.7047619047619048,0.9023109243697479,0.0739600658416748,0.07655171227461399
HybridLSTM,y_default,3.0,0.8240443373923904,0.5321130061773839,0.45871559633027525,0.3393665158371041,0.7075471698113207,0.8140756302521008,0.1686842441558838,0.29881612882174624
HybridLSTM,y_default,4.0,0.7738636870511619,0.5452954289280202,0.5020242914979757,0.4397163120567376,0.5849056603773585,0.8707983193277311,0.14465580880641937,0.26343212732184335
HybridLSTM,y_default,5.0,0.8533944422141932,0.6783682520070802,0.603448275862069,0.5555555555555556,0.660377358490566,0.9033613445378151,0.12490631639957428,0.24442296048641957
LogisticRegression,y_bad,1.0,0.6239628262706212,0.5774500372856934,0.5245901639344263,0.5730027548209367,0.48372093023255813,0.6044071353620147,0.23765915282700686,0.05885891712663682
LogisticRegression,y_bad,2.0,0.6541343669250645,0.6217268929222558,0.5625,0.6081081081081081,0.5232558139534884,0.6323529411764706,0.2290657519948773,0.04464861192169763
LogisticRegression,y_bad,3.0,0.6426312037779559,0.651614974220668,0.5276073619631901,0.5584415584415584,0.5,0.5955882352941176,0.2279742239778191,0.08301410229390949
LogisticRegression,y_bad,4.0,0.6052347857079212,0.570880944177629,0.5258215962441315,0.5308056872037915,0.5209302325581395,0.5756302521008403,0.24207998889116825,0.0842279317163666
LogisticRegression,y_bad,5.0,0.6549942083221956,0.6332874370834766,0.5560975609756098,0.5846153846153846,0.5302325581395348,0.6176470588235294,0.22802969191928177,0.0589039280732337
XGBoost,y_bad,1.0,0.6088043043265596,0.6125083143169123,0.597187758478081,0.4634146341463415,0.8395348837209302,0.48898216159496327,0.32157981395721436,0.2777153591450464
XGBoost,y_bad,2.0,0.6052035997505123,0.6136303749289939,0.6053067993366501,0.47036082474226804,0.8488372093023255,0.5,0.31712228059768677,0.26067085788749594
XGBoost,y_bad,3.0,0.6245522587543437,0.6415720295782714,0.6163934426229508,0.4759493670886076,0.8744186046511628,0.5084033613445378,0.3128678500652313,0.2787612010959629
XGBoost,y_bad,4.0,0.6165374677002584,0.6246633569407833,0.6095551894563427,0.4719387755102041,0.8604651162790697,0.5021008403361344,0.3188440799713135,0.27138336261092616
XGBoost,y_bad,5.0,0.6254031898779292,0.6397953427759537,0.6076360682372055,0.46691635455680397,0.8697674418604651,0.49264705882352944,0.31598129868507385,0.278659006079831
